,ssoc_2015,ssoc_2015_title
1221,72139,Other Sheet Metal Workers
1222,7214,Structural Metal Preparers And Erectors
1223,72141,Structural Steel Worker (Workshop)/Fabricator
1224,72142,Reinforcing Iron Worker/Steel Reinforcement Worker
1225,72143,Structural Steel Erector
1226,72144,Metal Shipwright
1227,72145,Ship Plater
1228,72146,Mould Lofter
1229,72149,Other Structural Metal Preparers And Erectors
1230,7215,Riggers And Cable Splicers
1231,72151,Hoisting Equipment Rigger (General)
1232,72152,Rope And Cable Splicer (General)
1233,72153,Hoisting Equipment Rigger (Construction)
1234,72154,Ship Rigger
1235,72155,Oil And Gas Well Drilling Rigger
1236,72159,Other Riggers And Cable Splicers
1237,722,"Blacksmiths, Toolmakers And Related Trades Workers"
1238,7221,"Blacksmiths, Hammersmiths And Forging-Press Workers"
1239,72211,Blacksmith (General)
1240,72212,Forging-Press Operator
1241,72219,"Other Blacksmiths, Hammersmiths And Forging-Press Workers"
1242,7222,Toolmakers And Related Workers
1243,72221,Tool And Die Maker
1244,72222,Jig And Gauge Maker
1245,72223,Metal Pattern Maker
1246,72224,Locksmith
1247,72229,Other Toolmakers And Related Workers
1248,7224,"Metal Polishers, Wheel Grinders And Tool Sharpeners"
1249,72241,Buffing/Polishing Machine Operator
1250,72242,Tool Grinder (Machine Tools)
1251,72249,"Other Metal Polishers, Grinders And Tool Sharpeners"
1252,723,"Machinery Mechanics, Fitters And Repairers"
1253,7231,Motor Vehicle Mechanics And Repairers
1254,72311,Motor Vehicle Mechanic
1255,72312,Motor Vehicle Body Builder
1256,7232,Aircraft Engine Mechanics And Repairers
1257,72321,Aircraft Engine Mechanic
1258,72322,Aircraft Engine Fitter
1259,7233,Other Machinery Mechanics And Repairers
1260,72331,Machinery Mechanic (General)
1261,72332,Machinery Fitter (General)
1262,72333,Industrial/Office Machinery Mechanic
1263,72334,Marine Engine Fitter
1264,72335,Machinery Erector/Installer
1265,72339,"Other Machinery Mechanics And Repairers (Eg Agricultural Machinery Mechanic, Bicycle Repairer)"
1266,73,"Precision, Handicraft, Printing And Related Trades Workers"
1267,730,"Supervisors And General Foremen (Precision, Handicraft, Printing And Related Trades)"
1268,7300,"Supervisors And General Foremen (Precision, Handicraft, Printing And Related Trades)"
1269,73000,"Supervisor/General Foreman (Precision, Handicraft, Printing And Related Trades)"
1270,731,Handicraft And Precision Workers
1271,7311,Precision Instrument Makers And Repairers
1272,73111,Watch And Clock Assembler
1273,73112,Watch And Clock Repairer
1274,73113,Optical Instrument Maker/Repairer
1275,73114,Medical Device Assembler/Repairer
1276,73119,Other Precision Instrument Makers And Repairers
1277,7312,"Musical Instrument Makers, Repairers And Tuners"
1278,73120,Musical Instrument Maker/Repairer/Tuner
1279,7313,Jewellery And Precious Metal Workers
1280,73131,Jewellery Worker (General)
1281,73132,Gem Setter/Cutter And Polisher
1282,73133,Goldsmith/Silversmith
1283,73134,Jewellery Engraver
1284,73139,Other Jewellery And Precious Metal Workers
1285,7314,Potters And Related Workers
1286,73141,Pottery Worker
1287,73142,Brick And Tile Moulder
1288,73149,Other Potters And Related Workers
1289,7315,"Glass Makers, Cutters, Grinders And Finishers"
1290,73151,Glass Blower
1291,73152,Glass Lens Moulder
1292,73153,Optical Glass Cutter
1293,73154,Lens Grinding Machine Operator
1294,73155,Lens Polishing Machine Operator
1295,73159,"Other Glass Makers, Cutters, Grinders And Finishers"
1296,7316,"Sign Writers, Decorative Painters, Engravers And Etchers"
1297,73161,Glass Engraver/Etcher
1298,73162,Glass And Ceramic Painter/Decorator
1299,73169,Other Engravers And Related Decorative Painters
1300,732,Printing Trades Workers
1301,7321,Pre-Press Trades Workers
1302,73211,Compositor/Typesetter
1303,73212,Stereotyper
1304,73213,Electrotyper
1305,73214,Photo-Engraver
1306,73215,Photogravure Cameraman
1307,73216,Photogravure Retoucher
1308,73217,Photogravure Etcher
1309,73219,Other Pre-Press Trades Workers
1310,7322,Printers
1311,73221,Silk Screen/Block/Textile Printer
1312,73229,Other Printers
1313,74,Electrical And Electronic Trades Workers
1314,740,Supervisors And General Foremen (Electrical And Electronic Trades)
1315,7400,Supervisors And General Foremen (Electrical And Electronic Trades)
1316,74000,Supervisor/General Foreman (Electrical And Electronic Trades)
1317,741,Electrical Equipment Related Trades Workers
1318,7411,Electricians
1319,74110,Electrician
1320,7412,Electrical Mechanics And Fitters
1321,74121,Electrical Fitter (General)
1322,74122,"Electrical Lift, Escalator And Related Equipment Fitter"
1323,74123,Electrical Household Appliance Repairer
1324,74129,Other Electrical Mechanics And Fitters
1325,7413,Electrical Line Installers And Repairers
1326,74131,Electrical Line Installer
1327,74132,Electric Cable Jointer
1328,74139,Other Electrical Line Installers And Repairers
1329,742,Electronics And Telecommunications Related Trades Workers
1330,7421,Electronics Mechanics And Servicers
1331,74211,Electronics Fitter (General)
1332,74212,Consumer Audio And Video Equipment Mechanic
1333,74219,Other Electronics Fitters
1334,7422,Information And Communications Technology Installers And Servicers
1335,74221,"Radio, Television And Radar Broadcasting/Transmitting Equipment Fitter"
1336,74222,Computer And Related Electronic Equipment Mechanic
1337,74223,Telecommunications Lineman
1338,74224,Telecommunications Installer/Servicer
1339,75,"Food Processing, Woodworking, Garment, Leather And Other Craft And Related Trades Workers"
1340,750,"Supervisors And General Foremen (Food Processing, Woodworking, Garment, Leather And Related Trades)"
1341,7500,"Supervisors And General Foremen (Food Processing, Woodworking, Garment, Leather And Related Trades)"
1342,75000,"Supervisor/General Foreman (Food Processing, Woodworking, Garment, Leather And Related Trades)"
1343,751,Food Processing And Related Trades Workers
1344,7511,Meat And Fish Preparers
1345,75111,Slaughterer
1346,75119,Other Meat And Fish Preparers
1347,7512,"Bakers, Pastry And Confectionery Makers"
1348,75121,Baker (General)
1349,75122,Bread Baker
1350,75123,Pastry And Confectionery Maker
1351,7515,Food And Beverage Tasters And Graders
1352,75151,Coffee And Tea Taster
1353,75159,Other Food And Beverage Tasters And Graders
1354,7519,Food Processing And Related Trades Workers Not Elsewhere Classified
1355,75190,Food Processing And Related Trades Worker N.E.C. (Eg Fruit Pickler)
1356,752,"Wood Treaters, Cabinet Makers And Related Trades Workers"
1357,7521,Wood Treaters
1358,75211,Kiln Drier
1359,75212,Wood-Treating Worker
1360,75219,Other Wood Treaters
1361,7522,Cabinet Makers And Wood Related Trades Workers
1362,75221,Cabinet And Furniture Maker
1363,75222,Wood Furniture Finisher
1364,75223,Picture Frame Maker
1365,75229,Other Cabinet Makers And Wood Related Trades Workers
1366,7529,Furniture Makers And Related Trades Workers Not Elsewhere Classified
1367,75291,Rattan Furniture Maker
1368,75299,Other Furniture Makers And Related Trades Workers N.E.C.
1369,753,"Garment, Leather And Related Trades Workers"
1370,7531,Tailors/Dressmakers
1371,75310,Tailor/Dressmaker
1372,7532,Garment And Related Pattern-Makers And Cutters
1373,75321,Garment Cutter
1374,75322,Garment Pattern-Maker
1375,75323,Garment Marker
1376,75329,Other Garment And Related Pattern-Makers And Cutters
1377,7534,Upholsterers And Related Workers
1378,75341,Furniture Upholsterer
1379,75342,Vehicle Upholsterer
1380,75343,Mattress Maker
1381,75349,Other Upholsterers And Related Workers
1382,7536,Shoemakers And Related Workers
1383,75361,Shoemaker
1384,75362,Orthopaedic Footwear Maker
1385,75363,Cobbler
1386,75364,Leather Goods Maker/Assembler
1387,75369,Other Shoemakers And Related Workers
1388,7539,Garment And Related Trades Workers Not Elsewhere Classified
1389,75390,"Garment And Related Trades Worker N.E.C. (Eg Fellmonger, Tent Sewer, Umbrella Maker)"
1390,754,Other Craft And Related Workers
1391,7540,Other Craft And Related Workers
1392,75401,Fumigators/Pest And Weed Controllers
1393,75402,Underwater Diver
1394,75409,Other Craft And Related Workers N.E.C.
1395,8,Plant And Machine Operators And Assemblers
1396,81,Stationary Plant And Machine Operators
1397,810,Stationary Plant And Machine Supervisors And General Foremen
1398,8100,Stationary Plant And Machine Supervisors And General Foremen
1399,81000,Stationary Plant And Machine Supervisor/General Foreman
1400,811,Mining And Mineral Processing Plant Operators
1401,8113,Well Drillers And Borers And Other Mining Related Workers
1402,81131,Well Driller (Petroleum And Gas Wells)
1403,81132,Well Driller/Borer (Except Oil And Gas Wells)
1404,81133,Deep-Boring Machine Operator
1405,81139,Other Well Drillers And Borers And Other Mining Related Workers
1406,8114,Cement And Other Mineral Products Machine Operators
1407,81141,Precast Concrete Product Making Machine Operator
1408,81142,Asbestos Cement Product Making Machine Operator
1409,81143,Terrazzo Tile Making Machine Operator
1410,81144,Concrete Mixing Plant Operator (Including Concrete Mixer Operator)
1411,81145,Concrete Pump Operator
1412,81149,Other Mineral Products And Processing Machine Operators
1413,812,"Metal Processing, Finishing And Products Plant Operators"
1414,8121,"Metal Melters, Casters And Rolling Mill Operators"
1415,81211,Ore And Metal Furnace Operator (Including Furnaceman)
1416,81212,Centrifugal Casting Machine Operator
1417,81213,Die Casting Machine Operator
1418,81214,Continuous Rod Casting Machine Operator (Non-Ferrous Metal)
1419,81215,Metal Rolling Mill Worker
1420,81219,"Other Metal Melters, Casters And Rolling Mill Operators"
1421,8122,Metal Heat Treating Plant Operators
1422,81220,Metal Heat Treating Plant Operator
1423,8123,Metal Drawers And Extruders
1424,81231,Wire Drawer
1425,81232,Seamless Pipe And Tube Drawer
1426,81233,Extruder Operator (Metal)
1427,81239,Other Metal Drawers And Extruders
1428,8124,"Metal Finishing, Plating And Coating Machine Operators"
1429,81241,Electro-Plater
1430,81242,Hot-Dip Plater
1431,81243,Wire-Coating Machine Operator
1432,81244,Galvaniser
1433,81245,Metal Sprayer
1434,81246,Anodiser
1435,81247,Sandblaster/Shotblaster (Metal)
1436,81248,Metal Cleaner
1437,81249,"Other Metal Finishing, Plating And Coating Machine Operators"
1438,8125,Machine-Tool Setter-Operators
1439,81251,Metalworking Machine Setter-Operator (General)
1440,81252,Lathe Setter-Operator
1441,81253,Milling Machine Setter-Operator
1442,81254,Planing Machine Setter-Operator
1443,81255,Boring/Drilling Machine Setter-Operator
1444,81256,Shaping And Honing Machine Setter-Operator
1445,81257,Precision Grinding Machine Setter-Operator
1446,81258,Numerical Control Machine Setter-Operator
1447,81259,Other Machine-Tool Setter-Operators
1448,813,"Chemical Processing, Chemical And Photographic Products Plant And Machine Operators"
1449,8131,Chemical Processing And Chemical Products Plant And Machine Operators
1450,81311,Crushing/Grinding/Chemical Mixing Equipment Operator
1451,81312,Chemical Heat Treating Plant Operator
1452,81313,Chemical Filtering And Separating Equipment Operator
1453,81314,Chemical Still/Reactor Operator
1454,81315,Synthetic Fibre Making Machine Operator
1455,81319,Other Chemical Processing And Chemical Products Plant And Machine Operators
1456,8132,Photographic Products Machine Operators
1457,81320,Photographic Products Machine Operator
1458,8133,Pharmaceutical And Toiletry Products Machine Operators
1459,81331,Pharmaceutical Products Machine Operator
1460,81332,Soap-Making Machine Operator
1461,81339,Other Toiletry Products Machine Operators
1462,8139,"Chemical Processing, Chemical And Photographic Products Plant And Machine Operators Not Elsewhere Classified"
1463,81390,"Chemical Processing, Chemical And Photographic Products Plant And Machine Operator N.E.C."
1464,814,"Rubber, Plastic And Paper Products Machine Operators"
1465,8141,Rubber Products Machine Operators
1466,81411,Rubber Millman
1467,81412,Rubber Laminating Machine Operator
1468,81419,Other Rubber Products Machine Operators
1469,8142,Plastic Products Machine Operators
1470,81420,Plastic Products Machine Operator
1471,8143,Paper And Paperboard Products Machine Operators
1472,81431,Carton/Paper Box Making Machine Operator
1473,81432,Paper Product Making Machine Operator
1474,81439,Other Paper And Paperboard Products Machine Operators
1475,815,"Textile, Fur And Leather Products Machine Operators"
1476,8151,"Fibre Preparing, Spinning And Winding Machine Operators"
1477,81511,Spinner (Thread And Yarn)
1478,81512,Winder (Thread And Yarn)
1479,8152,Weaving And Knitting Machine Operators
1480,81521,Weaving Machine Operator
1481,81522,Knitting Machine Operator
1482,8153,Sewing Machine Operators
1483,81531,Sewing Machine Operator
1484,81532,Machine Embroiderer
1485,8154,"Bleaching, Dyeing And Fabric Cleaning Machine Operators"
1486,81541,Textile Bleaching Machine Operator
1487,81542,Dyeing Machine Operator
1488,81543,Textile Washing/Shrinking Machine Operator
1489,81549,"Other Bleaching, Dyeing And Fabric Cleaning Machine Operators"
1490,8159,"Textile, Fur And Leather Products Machine Operators Not Elsewhere Classified"
1491,81591,"Laundry And Dry Cleaning Worker (Machine, Non-Household)"
1492,81599,"Other Textile, Fur And Leather Products Machine Operators N.E.C. (Eg Shoemaking And Related Machine Operators)"
1493,816,Food And Related Products Machine Operators
1494,8161,Meat And Fish Products Machine Operators
1495,81611,Sausage Making Machine Operator
1496,81619,Other Meat And Fish Processing Machine Operators
1497,8162,Dairy And Confectionery Products Machine Operators
1498,81621,Dairy Product Processing Machine Operator (General)
1499,81622,Dairy Product Pasteurising Machine Operator
1500,81623,Butter Making Machine Operator
1501,81624,Ice-Cream Making Machine Operator
1502,81625,Chocolate Making Machine Operator
1503,81626,Confectionery Making Machine Operator
1504,81629,Other Dairy And Confectionery Products Machine Operators
1505,8163,Grain And Spice Milling Machine Operators
1506,81630,Grain/Spice Milling Machine Operator
1507,8164,Baked And Cereal Products Machine Operators
1508,81641,Biscuit Making Machine Operator
1509,81642,Macaroni/Noodle/Vermicelli Making Machine Operator
1510,81649,Other Baked And Cereal Products Machine Operators
1511,8165,"Fruit, Vegetable And Nut Products Machine Operators"
1512,81651,Fruit-Press Operator
1513,81652,Oil Pressman (Edible Oils)
1514,81653,Refining Machine Operator (Oils And Fats)
1515,81654,Hydrogenation Operator (Oils And Fats)
1516,81655,Sauce Making Machine Operator
1517,81659,"Other Fruit, Vegetable And Nut Processing Machine Operators"
1518,8166,Sugar Processing And Refining Machine Operators
1519,81660,Sugar Processing And Refining Machine Operator
1520,8167,Brewers And Wine And Other Beverage Machine Operators
1521,81671,Germination Worker (Malting)
1522,81672,Kilnman (Malting)
1523,81673,Brewer
1524,81674,Fermenting-Room Man
1525,81675,Pasteuriser Attendant (Malt Liquor)
1526,81676,Syrup Making Machine Operator
1527,81677,Coffee/Tea Blending Machine Operator
1528,81678,Coffee/Cocoa Bean Roasting And Grinding Machine Operator
1529,81679,Other Brewers And Wine And Other Beverage Machine Operators
1530,8168,Tobacco Products Machine Operators
1531,81681,Cigarette Making Machine Operator
1532,81689,Other Tobacco Products Machine Operators
1533,8169,Food And Related Products Machine Operators Not Elsewhere Classified
1534,81691,Bean Curd Making Machine Operator
1535,81692,Ice Making Machine Operator
1536,81693,Feed Mixing Machine Operator
1537,81694,Fish Feed Making Machine Operator
1538,81699,Other Food And Related Products Machine Operators N.E.C.
1539,817,Wood Processing And Papermaking Plant Operators
1540,8171,Pulp And Papermaking Plant Operators
1541,81711,Paper Pulp Plant Operator
1542,81712,Papermaking Machine Operator
1543,81719,Other Pulp And Papermaking Plant Operators
1544,8172,Wood Processing Plant Operators
1545,81721,Sawyer
1546,81722,Veneer Cutter
1547,81723,Plywood Core Layer
1548,81724,Plywood Press Operator
1549,81725,Wood Grader
1550,81729,Other Wood Processing Plant Operators
1551,8173,Wood Products Machine Operators
1552,81731,Woodworking Machine Setter-Operator
1553,81732,Precision Wood Sawyer
1554,81739,Other Wood Products Machine Operators
1555,818,Other Stationary Plant And Machine Operators
1556,8181,Glass And Ceramics Plant Operators
1557,81811,Glass/Ceramics Kiln Machine Operator
1558,81812,Fibreglass Maker
1559,81819,Other Glass And Ceramics Plant Operators
1560,8182,Steam Engine And Boiler Operators
1561,81821,Boiler Fireman
1562,81822,Ship'S Fireman
1563,81823,Ship'S Oiler/Greaser
1564,81829,"Other Steam Turbine, Boiler And Engine Operators"
1565,8183,"Packing, Bottling And Labelling Machine Operators"
1566,81830,Packing/Bottling/Labelling Machine Operator
1567,8184,"Printing, Binding And Related Machine Operators"
1568,81841,Printing Machine Operator
1569,81842,Bookbinding Machine Operator
1570,81843,Book Embossing Machine Operator
1571,81849,"Other Printing, Binding And Related Machine Operators"
1572,8185,"Incineration Plant, Water Treatment And Related Machine Operators"
1573,81851,Stationary Engine Operator (General)
1574,81852,Compressor Operator
1575,81853,Pumping Station Operator
1576,81854,Water Treatment Machine Operator (Waterworks)
1577,81855,Refrigeration System Operator
1578,81859,"Other Incineration Plant, Water Treatment And Related Machine Operators"
1579,8186,Power Generating Plant Operators
1580,81860,Power Generating Plant Operator
1581,8187,Petroleum And Natural Gas Refining Plant Operators
1582,81871,Petroleum And Natural Gas Refining Plant Operator
1583,81872,Cylinder Filler/Tester (Compressed And Liquefied Gases)
1584,8188,Automated Assembly Line And Industrial Robot Operators
1585,81880,Automated Assembly Line/Industrial Robot Operator
1586,8189,Stationary Plant And Machine Operators Not Elsewhere Classified
1587,81890,Stationary Plant And Machine Operator N.E.C.
1588,82,Assemblers And Quality Checkers
1589,820,Supervisors And General Foremen Of Assemblers And Quality Checkers
1590,8200,Supervisors And General Foremen Of Assemblers And Quality Checkers
1591,82000,Supervisor/General Foreman Of Assemblers And Quality Checkers
1592,821,"Assemblers, Quality Checkers And Testers"
1593,8212,Electrical And Electronic Equipment Assemblers
1594,82121,Electrical Equipment/Component Assembler
1595,82122,Electronic Equipment/Component Assembler
1596,82123,Battery Assembler
1597,8213,Quality Checkers And Testers
1598,82131,Electrical/Electronic Products Quality Checker And Tester
1599,82132,Mechanical Products Quality Checker And Tester
1600,82139,Other Quality Checkers And Testers
1601,8219,Assemblers Not Elsewhere Classified
1602,82191,Toy Assembler
1603,82199,"Other Assemblers N.E.C. (Eg Plastic Products Assembler, Rubber Products Assembler)"
1604,83,Drivers And Mobile Machinery Operators
1605,830,Mobile Machinery Supervisors And General Foremen
1606,8300,Mobile Machinery Supervisors And General Foremen
1607,83000,Mobile Machinery Supervisor And General Foreman
1608,831,Mrt Train Operators And Related Workers
1609,8311,Mrt Train Operators
1610,83110,Mrt Train Operator
1611,8312,Railway Brakers And Related Workers
1612,83121,Railway Brakeman/Signalman/Shunter
1613,83129,Other Railway Brakers And Related Workers
1614,832,Car And Light Goods Vehicle Drivers
1615,8321,Motorcycle Delivery Men
1616,83210,Motorcycle Delivery Man
1617,8322,"Car, Taxi, Van And Light Goods Vehicle Drivers"
1618,83221,Taxi Driver
1619,83222,Chauffeur
1620,83223,Van Driver
1621,83224,Ambulance Driver
1622,83225,Parking Valet
1623,83229,Other Car And Light Goods Vehicle Drivers
1624,833,Heavy Truck And Bus Drivers
1625,8331,Bus And Tram Drivers
1626,83311,Bus Driver
1627,83312,Tram Driver
1628,8332,Heavy Truck And Lorry Drivers
1629,83321,Lorry Driver
1630,83322,Trailer-Truck Driver (Including Prime Mover Driver)
1631,83323,Fire-Engine Driver
1632,83324,Airport Mobile Equipment Driver
1633,83325,Concrete Mix Truck Driver
1634,83326,Waste Truck Driver (Including Hooklift Trucks With Roll-On Containers)
1635,83329,Other Heavy Truck And Lorry Drivers
1636,834,Mobile Machinery Operators
1637,8342,Earth Moving And Related Machinery Operators
1638,83421,Excavating/Trench Digging Machine Operator
1639,83422,Bulldozer Operator
1640,83423,Dredge Operator
1641,83424,Pile Driver/Drilling Machine Operator
1642,83425,Road Making Machine Operator
1643,83426,Tunnelling Machine Operator (Including Pipe Jacking Machine Operator)
1644,83429,Other Earth Moving And Related Machinery Operators
1645,8343,"Crane, Hoist And Related Equipment Operators"
1646,83431,Crane/Hoist Operator (General)
1647,83432,Crane Operator (Port)
1648,83439,"Other Crane, Hoist And Related Equipment Operators"
1649,8344,Lifting Truck Operators
1650,83441,Fork Lift Truck Operator
1651,83449,Other Lifting Truck Operators
1652,8349,Mobile Machinery Operators Not Elsewhere Classified
1653,83491,Motorised Sweeper Operator
1654,83499,Mobile Machinery Operator N.E.C. (Eg Mobile Farm Plant Operator)
1655,835,Ships’ Deck Crew And Related Workers
1656,8350,Ships’ Deck Crew And Related Workers
1657,83501,Helmsman/Steersman
1658,83502,Deckhand (Including Lighterman)
1659,83509,Other Ships’ Deck Crew And Related Workers
1660,9,"Cleaners, Labourers And Related Workers"
1661,91,Cleaners And Related Workers
1662,910,Cleaning Supervisors
1663,9100,Cleaning Supervisors
1664,91000,Cleaning Supervisor
1665,911,"Cleaners And Helpers In Hotels, Offices And Other Establishments"
1666,9112,Cleaners And Helpers In Hotels And Related Establishments
1667,91121,Room Steward/Chambermaid
1668,91122,Hotel Cleaner
1669,91129,Other Cleaners And Helpers In Hotels And Related Establishments
1670,9113,Cleaners In Offices
1671,91130,Office Cleaner
1672,9114,Cleaners In Industrial Establishments
1673,91140,Industrial Establishment Cleaner
1674,9115,Cleaners In Food And Beverage Establishments
1675,91151,"Food And Beverage Establishment Cleaner (Eg Restaurants, Food Courts, Hawker Centres)"
1676,91152,Dish Washer/Plate Collector/Table-Top Cleaner
1677,9116,Cleaners In Residential Areas
1678,91160,"Residential Area Cleaner (Eg Hdb Estates, Condominiums, Private Apartments, Common Areas Within Residential Estates)"
1679,9117,Cleaners In Open Areas
1680,91170,"Cleaner In Open Areas (Eg Bus Stops, Drains, Waterways, Overhead Bridges, Roads, Expressways, Parks, Beaches)"
1681,9119,Cleaners In Other Establishments
1682,91190,"Cleaner In Other Establishments (Eg Shopping Malls, Schools, Hospitals, Places Of Worship)"
1683,912,"Vehicle, Window, Laundry And Other Hand Cleaning Workers"
1684,9121,Hand Launderers And Pressers
1685,91210,Hand Launderer/Presser (Non-Household)
1686,9122,Vehicle Cleaners
1687,91220,Motor Vehicle Cleaner/Polisher
1688,9123,Window Cleaners
1689,91230,Window Cleaner
1690,9129,Cleaning Workers Not Elsewhere Classified
1691,91291,Ship/Ship Tank Cleaner
1692,91292,Aircraft Cleaner
1693,91293,"Railway Carriage Cleaner (Include Mrt, Lrt And Monorail)"
1694,91299,Other Cleaning Workers N.E.C.
1695,913,Domestic Helpers And Cleaners
1696,9130,Domestic Helpers And Cleaners
1697,91301,Domestic Helper (General)
1698,91309,Other Domestic Helpers And Cleaners
1699,92,"Agricultural, Fishery And Related Labourers"
1700,921,"Agricultural, Fishery And Related Labourers"
1701,9214,Park And Garden Maintenance Workers
1702,92141,Garden Labourer
1703,92142,Grass Cutter
1704,92143,Tree Cutter
1705,92149,Other Park And Garden Maintenance Workers (Including Landscape Worker)
1706,9219,"Agricultural, Fishery Labourers And Related Workers Not Elsewhere Classified"
1707,92190,Agricultural And Fishery Labourer And Related Worker N.E.C. (Eg Farm Labourer)
1708,93,Labourers And Related Workers
1709,931,Construction Labourers And Related Workers
1710,9310,Civil Engineering And Building Construction Labourers
1711,93100,Civil Engineering/Building Construction Labourer
1712,932,Manufacturing Labourers And Related Workers
1713,9320,Manufacturing Labourers And Related Workers
1714,93201,Hand Packer
1715,93209,Manufacturing Labourer And Related Worker N.E.C. (Eg Rubber Sheets Clipper And Sorter)
1716,933,Transport And Storage Labourers
1717,9331,Hand And Pedal Vehicle Drivers
1718,93310,Hand/Pedal Vehicle Driver
1719,9333,Material And Freight Handling Workers
1720,93331,Stevedore
1721,93332,Railway/Road Vehicle Loader
1722,93333,Aircraft Loader (Eg Airport Baggage/Cargo Handler)
1723,93334,Godown Labourer
1724,93335,Lorry Attendant
1725,93336,Mover
1726,93337,Lashing Worker
1727,93339,Other Material And Freight Handling Workers
1728,94,Food Preparation And Kitchen Assistants
1729,941,Food Preparation And Kitchen Assistants
1730,9410,Food Preparation And Kitchen Assistants
1731,94101,Kitchen Assistant
1732,94102,Food/Drink Stall Assistant
1733,94103,Fast Food Preparer
1734,94104,"Tea Server/Steward (Excluding Bartender, Barista And Food/Drink Stall Assistant)"
1735,96,Waste And Recyclables Collection Workers And Other Elementary Workers
1736,960,Waste And Recyclables Collection Supervisors
1737,9600,Waste And Recyclables Collection Supervisors
1738,96000,Waste And Recyclables Collection Supervisor
1739,961,Waste And Recyclables Collection Workers
1740,9611,Waste And Recyclables Collection Workers
1741,96111,General Waste And Recyclables Collection Worker
1742,96112,Recyclables Sorter
1743,96113,Greasy Waste Collection Worker
1744,96119,Other Waste And Recyclables Collection Worker
1745,962,"Porters, Attendants And Related Workers"
1746,9621,Porters And Related Workers
1747,96211,Bell Captain
1748,96212,Bellboy/Hotel Porter
1749,96213,Porter (Except Hotel)
1750,9625,Attendants
1751,96251,Office/Library Attendant
1752,96252,Laboratory Attendant
1753,96253,Hospital/Clinic Attendant
1754,96254,Car Park Attendant
1755,96255,"Sports And Recreational Attendant (Eg Golf Marshal, Golf Caddie, Fun Fair Attendant, Bowling Alley Attendant, Swimming Pool Attendant)"
1756,96256,Bus Attendant
1757,96257,Restroom Attendant
1758,96259,Other Attendants
1759,9626,Watchmen And Related Workers
1760,96261,Building Caretaker/Watchman
1761,96262,Doorman
1762,96269,Other Watchmen And Related Workers (Eg Lighthouse Keeper)
1763,9629,Other Elementary Workers
1764,96291,Leaflet And Newspaper Distributor/Deliverer
1765,96292,Meter Reader/Vending-Machine Collector
1766,96293,Odd Job Person
1767,96299,Other Elementary Workers N.E.C.
1768,X,Workers Not Elsewhere Classified
1769,X1000,Worker Reporting Unidentifiable Or Inadequately Described Occupation
1770,X2000,Worker Not Reporting Any Occupation
1771,X3000,Singapore Armed Forces Personnel
1772,X4000,Foreign Armed Forces Personnel
1773,X5000,Foreign Diplomatic Personnel
